,sourcefile,outputfile,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed,SDS,miniseed
0,20220826\20hz\20hz_Sensors_20Hz0.csv,20220826.20hz.20hz_Sensors_20Hz0.csv,2022/07/21 13:47:50,2022/07/21 16:00:00,2.2,158601,158601.0,20.0000190735,158601,0.0,True,True,True
1,20220826\20hz\20hz_Sensors_1Sec0.csv,20220826.20hz.20hz_Sensors_1Sec0.csv,2022/07/21 13:47:50,2022/07/21 16:00:00,2.2,7931,7931.0,1.0,7931,0.0,True,True,True
2,20220826\Baro\100hz_Baro_Sensors0.csv,20220826.Baro.100hz_Baro_Sensors0.csv,2022/07/21 13:54:21,2022/07/21 16:00:00,2.09,753819,753819.0,100.000095368,753819,2.0,True,True,True
3,20220826\100hz\100hz_Sensors_100Hz1.csv,20220826.100hz.100hz_Sensors_100Hz1.csv,2022/07/21 16:00:00,2022/07/21 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
4,20220826\20hz\20hz_Sensors_20Hz1.csv,20220826.20hz.20hz_Sensors_20Hz1.csv,2022/07/21 16:00:00,2022/07/21 20:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
5,20220826\Baro\100hz_Baro_Sensors1.csv,20220826.Baro.100hz_Baro_Sensors1.csv,2022/07/21 16:00:00,2022/07/21 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
6,20220826\20hz\20hz_Sensors_1Sec1.csv,20220826.20hz.20hz_Sensors_1Sec1.csv,2022/07/21 16:00:01,2022/07/21 20:00:00,4.0,14400,14400.0,1.0,14400,0.0,True,True,True
7,20220826\Baro\100hz_Baro_Sensors2.csv,20220826.Baro.100hz_Baro_Sensors2.csv,2022/07/21 20:00:00,2022/07/22 00:00:00,4.0,1439996,1439996.0,100.000095368,1439996,2.0,True,True,True
8,20220826\20hz\20hz_Sensors_20Hz2.csv,20220826.20hz.20hz_Sensors_20Hz2.csv,2022/07/21 20:00:00,2022/07/22 00:00:00,4.0,287962,287962.0,20.0000190735,287962,2.0,True,False,True
9,20220826\100hz\100hz_Sensors_100Hz2.csv,20220826.100hz.100hz_Sensors_100Hz2.csv,2022/07/21 20:00:00,2022/07/22 00:00:00,4.0,1439802,1439802.0,100.000095368,1439802,2.0,True,False,True
