name,slug,launch_designator,SLC,success,net,window_start,window_end
Atlas V 401 | GPS IIF-12 (USA-266),atlas-v-401-gps-iif-12-usa-266,2016-007,Space Launch Complex 40,True,2016-02-05T13:38:00Z,2016-02-05 13:38:00+00:00,2016-02-05 13:57:00+00:00
Falcon 9 Full Thrust | SES-9,falcon-9-full-thrust-ses-9,2016-013,Space Launch Complex 40,True,2016-03-04T23:35:00Z,2016-03-04 23:35:00+00:00,2016-03-05 01:06:00+00:00
Atlas V 401 | Cygnus CRS OA-6 (S.S. Rick Husband),atlas-v-401-cygnus-crs-oa-6-ss-rick-husband,2016-019,Space Launch Complex 40,True,2016-03-23T03:05:52Z,2016-03-23 03:05:52+00:00,2016-03-23 03:35:00+00:00
Falcon 9 Full Thrust | SpX CRS-8,falcon-9-full-thrust-spx-crs-8,2016-024,Space Launch Complex 40,True,2016-04-08T20:43:32Z,2016-04-08 20:43:32+00:00,2016-04-08 20:43:32+00:00
Falcon 9 Full Thrust | JCSAT-14,falcon-9-full-thrust-jcsat-14,2016-028,Space Launch Complex 40,True,2016-05-06T05:21:00Z,2016-05-06 05:21:00+00:00,2016-05-06 07:21:00+00:00
Falcon 9 Full Thrust | Thaicom 8,falcon-9-full-thrust-thaicom-8,2016-031,Space Launch Complex 40,True,2016-05-27T21:39:00Z,2016-05-27 21:39:00+00:00,2016-05-27 23:39:00+00:00
Delta IV Heavy | NROL-37,delta-iv-heavy-nrol-37,2016-036,Space Launch Complex 41,True,2016-06-11T17:51:00Z,2016-06-11 17:51:00+00:00,2016-06-11 17:51:00+00:00
Falcon 9 Full Thrust | Eutelsat 117 West B & ABS-2A,falcon-9-full-thrust-eutelsat-117-west-b-abs-2a,2016-038,Space Launch Complex 40,True,2016-06-15T14:29:00Z,2016-06-15 14:29:00+00:00,2016-06-15 15:13:00+00:00
Atlas V 551 | MUOS-5,atlas-v-551-muos-5,2016-041,Space Launch Complex 40,True,2016-06-24T14:30:00Z,2016-06-24 14:30:00+00:00,2016-06-24 15:14:00+00:00
Falcon 9 Full Thrust | SpX CRS-9,falcon-9-full-thrust-spx-crs-9,2016-046,Space Launch Complex 40,True,2016-07-18T04:45:29Z,2016-07-18 04:45:29+00:00,2016-07-18 04:45:29+00:00
Atlas V 421 | NROL-61,atlas-v-421-nrol-61,2016-047,Space Launch Complex 40,True,2016-07-28T12:37:00Z,2016-07-28 12:00:00+00:00,2016-07-28 16:00:00+00:00
Falcon 9 Full Thrust | JCSAT-16,falcon-9-full-thrust-jcsat-16,2016-050,Space Launch Complex 40,True,2016-08-14T05:26:00Z,2016-08-14 05:26:00+00:00,2016-08-14 07:26:00+00:00
"Delta IV M+(4,2) | AFSPC-6",delta-iv-m42-afspc-6,2016-052,Space Launch Complex 40,True,2016-08-19T04:52:00Z,2016-08-19 04:47:00+00:00,2016-08-19 05:52:00+00:00
Falcon 9 Full Thrust | Amos 6 (Failure before launch),falcon-9-full-thrust-amos-6-failure-before-launch,,Space Launch Complex 40,True,2016-09-03T07:00:00Z,2016-09-03 07:00:00+00:00,2016-09-03 09:00:00+00:00
Atlas V 411 | OSIRIS-REx,atlas-v-411-osiris-rex,2016-055,Space Launch Complex 40,True,2016-09-08T23:05:00Z,2016-09-08 23:05:00+00:00,2016-09-09 01:05:00+00:00
Atlas V 541 | GOES-R,atlas-v-541-goes-r,2016-071,Space Launch Complex 40,True,2016-11-19T23:42:00Z,2016-11-19 22:42:00+00:00,2016-11-19 23:42:00+00:00
"Delta IV M+(5,4) | WGS-8 (USA-272)",delta-iv-m54-wgs-8-usa-272,2016-075,Space Launch Complex 40,True,2016-12-07T23:53:00Z,2016-12-07 23:53:00+00:00,2016-12-08 00:42:00+00:00
Pegasus XL | 8 x CYGNSS,pegasus-xl-8-x-cygnss,2016-078,Space Launch Complex 40,True,2016-12-15T13:37:21Z,2016-12-15 13:21:00+00:00,2016-12-15 14:21:00+00:00
