station,trace1_id,trace2_id,type,r_value,cc_max,lag_s,coupling_peak_amp,coupling_lag_s,coupling_duration_s,peak_crosscorr_freq_Hz
S39A1,FL.S39A1.00.HHE,FL.S39A1.00.HHE,auto,,,,,,,
S39A1,FL.S39A1.00.HHE,FL.S39A1.00.HHN,seis-seis,,,,,,,
S39A1,FL.S39A1.00.HHE,FL.S39A1.00.HHZ,seis-seis,,,,,,,
S39A1,FL.S39A1.00.HHE,FL.S39A1.10.HDF,seis-acou,0.03263152411643704,12.0,0.0030248741040413366,2.2912300945421293e-09,85.33,77.81,6.188201310965448
S39A1,FL.S39A1.00.HHN,FL.S39A1.00.HHE,seis-seis,,,,,,,
S39A1,FL.S39A1.00.HHN,FL.S39A1.00.HHN,auto,,,,,,,
S39A1,FL.S39A1.00.HHN,FL.S39A1.00.HHZ,seis-seis,,,,,,,
S39A1,FL.S39A1.00.HHN,FL.S39A1.10.HDF,seis-acou,-0.055988875445959777,4.0,0.0030040991863090655,1.6383437939637702e-09,90.0,82.87,6.16598155760471
S39A1,FL.S39A1.00.HHZ,FL.S39A1.00.HHE,seis-seis,,,,,,,
S39A1,FL.S39A1.00.HHZ,FL.S39A1.00.HHN,seis-seis,,,,,,,
S39A1,FL.S39A1.00.HHZ,FL.S39A1.00.HHZ,auto,,,,,,,
S39A1,FL.S39A1.00.HHZ,FL.S39A1.10.HDF,seis-acou,-0.24817837480021612,1.0,-0.003263673816285998,3.0288764829577985e-09,0.1,77.7,3.877346961448728
S39A1,FL.S39A1.10.HDF,FL.S39A1.00.HHE,seis-acou,0.03263152411643704,-12.0,0.0030248741040413375,138661.828125,0.01,89.85,6.188201310965448
S39A1,FL.S39A1.10.HDF,FL.S39A1.00.HHN,seis-acou,-0.055988875445959777,-4.0,0.0030040991863090655,148060.4375,0.01,89.9,6.16598155760471
