catalogEventNumber,onTimeDatenum,offTimeDatenum,onTimeEpochS,offTimeEpochS,onTimeUTC,offTimeUTC,durationS
1,736574.54671213,736574.546713148,1472735235.928,1472735236.016,2016-09-01T13:07:15.928,2016-09-01T13:07:16.016,0.0879999250173569
2,736574.546713738,736574.546713773,1472735236.067,1472735236.07,2016-09-01T13:07:16.067,2016-09-01T13:07:16.070,0.00299736857414246
3,736574.546722222,736574.546722361,1472735236.8,1472735236.812,2016-09-01T13:07:16.800,2016-09-01T13:07:16.812,0.0119995325803757
4,736574.546727338,736574.546728414,1472735237.242,1472735237.335,2016-09-01T13:07:17.242,2016-09-01T13:07:17.335,0.0929988920688629
5,736574.546730544,736574.546731875,1472735237.519,1472735237.634,2016-09-01T13:07:17.519,2016-09-01T13:07:17.634,0.115006417036057
6,736574.546732905,736574.546734907,1472735237.723,1472735237.896,2016-09-01T13:07:17.723,2016-09-01T13:07:17.896,0.173002481460571
7,736574.546735903,736574.546737407,1472735237.982,1472735238.112,2016-09-01T13:07:17.982,2016-09-01T13:07:18.112,0.130003318190575
8,736574.546737407,736574.546737546,1472735238.112,1472735238.124,2016-09-01T13:07:18.112,2016-09-01T13:07:18.124,0.0119995325803757
9,736574.546747488,736574.546748461,1472735238.983,1472735239.067,2016-09-01T13:07:18.983,2016-09-01T13:07:19.067,0.0839967280626297
10,736574.546748461,736574.546750451,1472735239.067,1472735239.239,2016-09-01T13:07:19.067,2016-09-01T13:07:19.239,0.172006711363792
11,736574.546750451,736574.546750613,1472735239.239,1472735239.253,2016-09-01T13:07:19.239,2016-09-01T13:07:19.253,0.0139910727739334
12,736574.546752639,736574.546753299,1472735239.428,1472735239.485,2016-09-01T13:07:19.428,2016-09-01T13:07:19.485,0.0570002943277359
13,736574.546769792,736574.546769884,1472735240.91,1472735240.918,2016-09-01T13:07:20.910,2016-09-01T13:07:20.918,0.00800639390945435
14,736574.546777465,736574.546778472,1472735241.573,1472735241.66,2016-09-01T13:07:21.573,2016-09-01T13:07:21.660,0.087004154920578
15,736574.546799398,736574.546800417,1472735243.468,1472735243.556,2016-09-01T13:07:23.468,2016-09-01T13:07:23.556,0.0879999250173569
16,736574.546823426,736574.546824514,1472735245.544,1472735245.638,2016-09-01T13:07:25.544,2016-09-01T13:07:25.638,0.0940047204494476
17,736574.546830926,736574.546831898,1472735246.192,1472735246.276,2016-09-01T13:07:26.192,2016-09-01T13:07:26.276,0.0839967280626297
18,736574.54683787,736574.546838889,1472735246.792,1472735246.88,2016-09-01T13:07:26.792,2016-09-01T13:07:26.880,0.0879999250173569
19,736574.546856574,736574.546857593,1472735248.40799,1472735248.49601,2016-09-01T13:07:28.407,2016-09-01T13:07:28.496,0.0880099833011627
20,736574.546863287,736574.546864306,1472735248.988,1472735249.076,2016-09-01T13:07:28.988,2016-09-01T13:07:29.076,0.0879999250173569
21,736574.546880231,736574.54688125,1472735250.452,1472735250.54,2016-09-01T13:07:30.452,2016-09-01T13:07:30.540,0.0879999250173569
22,736574.546907407,736574.546908426,1472735252.8,1472735252.888,2016-09-01T13:07:32.800,2016-09-01T13:07:32.888,0.0879999250173569
23,736574.546926308,736574.546927384,1472735254.433,1472735254.526,2016-09-01T13:07:34.433,2016-09-01T13:07:34.526,0.0929988920688629
24,736574.546972037,736574.546973148,1472735258.384,1472735258.48,2016-09-01T13:07:38.384,2016-09-01T13:07:38.480,0.0959962606430054
25,736574.546979491,736574.546980463,1472735259.028,1472735259.112,2016-09-01T13:07:39.028,2016-09-01T13:07:39.112,0.0839967280626297
26,736574.547012315,736574.547013333,1472735261.864,1472735261.952,2016-09-01T13:07:41.864,2016-09-01T13:07:41.952,0.0879999250173569
27,736574.547016574,736574.547017731,1472735262.232,1472735262.332,2016-09-01T13:07:42.232,2016-09-01T13:07:42.332,0.0999994575977325
28,736574.547056343,736574.547057014,1472735265.668,1472735265.726,2016-09-01T13:07:45.668,2016-09-01T13:07:45.726,0.0579960644245148
29,736574.547079826,736574.547080833,1472735267.697,1472735267.784,2016-09-01T13:07:47.697,2016-09-01T13:07:47.784,0.087004154920578
30,736574.547090926,736574.547090972,1472735268.656,1472735268.66,2016-09-01T13:07:48.656,2016-09-01T13:07:48.660,0.00399313867092133
