eventNumber,firstArrivalDatenum,lastArrivalDatenum,firstArrivalEpochS,lastArrivalEpochS,firstArrivalUTC,lastArrivalUTC,meanCorr,stdCorr,meanSecsDiff,stdSecsDiff,bestBackAzimuthDeg,bestSoundSpeedMps,apparentSpeedMps,apparentSpeedErrorMps,reducedPressure1Pa,reducedPressure2Pa,reducedPressure3Pa,infrasoundEnergyJ,seismicEnergyJ,snr1,snr2,snr3,nAssociatedPicks,nNPhasePicks,nInfrasoundChannelPicks,nSeismicChannelPicks
1,736574.54671213,736574.546714653,1472735235.928,1472735236.146,2016-09-01T13:07:15.928,2016-09-01T13:07:16.146,0.611524675184443,0.112324369507825,-0.00066666666666666,0.073817793699532,201.9,350.572630233555,400.711796885414,88.5109018527479,71.5124373951375,90.0526223320997,64.1397624104268,983582.050496406,5871.17352550716,2.98990795696293,5.44870305392236,4.17519483880612,9,7,6,3
2,736574.546715914,736574.546718113,1472735236.255,1472735236.445,2016-09-01T13:07:16.255,2016-09-01T13:07:16.445,0.751194774434133,0.0858393385934538,0.000666666666666674,0.073817793699532,201.9,350.572630233555,400.711796885414,88.5109018527483,83.6315968010186,81.488601856692,78.6214066833479,1008986.49460948,15324.9489108951,4.44763466809377,4.65194277171464,4.3446617171002,5,5,5,0
3,736574.546722222,736574.546722361,1472735236.8,1472735236.812,2016-09-01T13:07:16.800,2016-09-01T13:07:16.812,0.538696786211772,0.10880168303824,-0.00066666666666666,0.073817793699532,201.9,350.572630233555,400.711796885414,88.5109018527479,46.4585990845604,47.4411006488461,43.9132985319166,469640.037762106,15903.7086237049,2.7850373983075,3.46506483416757,3.29337308597289,2,2,2,0
4,736574.546727338,736574.546728414,1472735237.242,1472735237.335,2016-09-01T13:07:17.242,2016-09-01T13:07:17.335,0.661501595662963,0.133711013110263,-0.00533333333333333,0.0746476166174558,205.1,315.60276963408,319.432768432732,357.245600491486,59.1321858306351,45.327437500469,46.4229638664873,811838.065005365,19025.0807986336,3.09164406277879,3.05670924608124,3.09183710283254,3,3,3,0
5,736574.546731875,736574.546732905,1472735237.634,1472735237.723,2016-09-01T13:07:17.634,2016-09-01T13:07:17.723,0.52295327526265,0.0308856823073241,-0.00066666666666666,0.073817793699532,201.9,350.572630233555,400.711796885414,88.5109018527479,63.2341306622315,61.1744105500727,50.5741059193219,758182.688752702,46501.6778263728,4.15929772100627,3.86923588434904,3.12272746361812,4,3,3,1
6,736574.546734907,736574.546735903,1472735237.896,1472735237.982,2016-09-01T13:07:17.896,2016-09-01T13:07:17.982,0.636365715107422,0.0571202811671396,-0.141333333333333,0.0595270246750723,227.7,35.6814093596235,32.5154329898753,225.688717931237,75.8498238504856,76.201569564933,79.8882290264962,1216082.23205443,94759.1083614685,3.0952664704559,2.17818428769335,2.21276536990517,3,3,3,0
7,736574.546737407,736574.546740775,1472735238.112,1472735238.403,2016-09-01T13:07:18.112,2016-09-01T13:07:18.403,0.816011013393516,0.0325094791952208,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,248.689082359037,247.469217813424,257.944050395325,7905469.82834393,172187.635742764,5.84432823800024,5.95598096034483,6.15616104147628,6,6,6,0
8,736574.546747488,736574.546748461,1472735238.983,1472735239.067,2016-09-01T13:07:18.983,2016-09-01T13:07:19.067,0.629988914115232,0.164334941443406,-0.0373333333333333,0.0837774830528267,196.3,323.547597372039,278.331241830421,226.648428368195,102.884687846623,112.368575345493,112.234581440386,3547006.45514089,817685.117869595,3.11835023367837,2.51607841159994,2.59188398597575,3,3,3,0
9,736574.546750451,736574.546750613,1472735239.239,1472735239.253,2016-09-01T13:07:19.239,2016-09-01T13:07:19.253,0.524278817684563,0.049302554786101,-0.0986666666666667,0.0689888879941304,52,130.219930908293,-23.4703853930238,262.13665677454,397.888529194415,470.046565193553,492.597674983243,112236772.103531,847073.335014529,1.40770351170122,1.22480970784571,1.35999615723024,2,2,2,0
10,736574.546752639,736574.546755463,1472735239.428,1472735239.672,2016-09-01T13:07:19.428,2016-09-01T13:07:19.672,0.84517050125346,0.107302105374379,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,1930.40115041427,2153.70625360818,2025.89973184144,1031250577.4277,7799366.71795063,5.21615274284762,4.66846772723547,4.73192887933785,13,10,10,3
11,736574.546769792,736574.546769884,1472735240.91,1472735240.918,2016-09-01T13:07:20.910,2016-09-01T13:07:20.918,0.704478688688495,0.073617019049422,-0.00066666666666666,0.0781144459537842,203.1,332.472558016552,419.042953841491,124.92294887732,64.2491299522717,67.4601158921496,77.9714024458828,1077397.45086974,1534161.20233262,3.62496136137028,4.04364211288981,3.72803531890465,2,2,2,0
12,736574.546777465,736574.546778472,1472735241.573,1472735241.66,2016-09-01T13:07:21.573,2016-09-01T13:07:21.660,0.525753738391001,0.128381440520608,0.0413333333333333,0.0841205484211002,201.2,301.66322967282,343.245845441491,283.649277285642,44.7002443675537,53.6158282850967,44.5882432603114,345786.983221681,1539585.57058139,2.2533545283266,5.75874057852956,4.31208404680118,3,3,3,0
13,736574.546799398,736574.546800417,1472735243.468,1472735243.556,2016-09-01T13:07:23.468,2016-09-01T13:07:23.556,0.96247099104978,0.0152105715628372,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,314.871904516874,358.030717180188,343.46550748596,18171920.32776,963295.223120378,6.33210469453934,6.58447674617381,6.51278640615347,6,3,3,3
14,736574.546823461,736574.546823495,1472735245.547,1472735245.55,2016-09-01T13:07:25.547,2016-09-01T13:07:25.550,0.490952487773307,0.163212197947397,-0.0466666666666667,0.110870495023097,109.1,212.589204652968,15.07456259985,503.115878347036,44.9962067906606,44.2651720778875,91.482890036674,537749.103160754,30304.346093518,3.46403255277026,4.16813885523401,3.29390178507782,4,2,4,0
15,736574.546830926,736574.546831898,1472735246.192,1472735246.276,2016-09-01T13:07:26.192,2016-09-01T13:07:26.276,0.830599475800792,0.0363494174259266,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,84.5887539907248,82.4025005232587,140.525885103512,1924247.46437276,39616.701085724,4.52644227572383,4.83063945609399,6.2577419145643,3,3,3,0
16,736574.54683787,736574.546838889,1472735246.792,1472735246.88,2016-09-01T13:07:26.792,2016-09-01T13:07:26.880,0.837103885704298,0.0531094512712319,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,90.8736739419866,86.0988366922533,88.4595828773689,1147702.04483768,68221.7931940618,5.33691964107818,6.1088283837554,6.20890951270164,3,3,3,0
17,736574.546856574,736574.546857593,1472735248.40799,1472735248.49601,2016-09-01T13:07:28.407,2016-09-01T13:07:28.496,0.961874484207878,0.0113119004297484,6.93889390390723e-18,0.0737129567986524,202.8,353.008132102951,432.932526144493,113.911106980206,455.081023129078,485.966958427775,481.582305223369,46356028.3009781,444778.154096037,5.75943690636394,5.87211396321762,5.72906825045145,6,4,3,3
