file,variable,class,size_text,numel,bytes,is_complex,is_global,is_sparse
arrivals.mat,arrivalobj,Arrival,1 x 1,1,195808,0,0,0
arrivals_with_waveforms.mat,arrivalobj,Arrival,1 x 1,1,5679713,0,0,0
arrivals_with_waveforms_and_amplitudes.mat,arrivalobj,Arrival,1 x 1,1,6811740,0,0,0
catalog.mat,catalogobj,Catalog,1 x 1,1,5151209,0,0,0
currentstuff.mat,w,waveform,6 x 1,6,43218507,0,0,0
currentstuff.mat,wfilt,waveform,6 x 1,6,43214583,0,0,0
currentstuff.mat,wf,waveform,6 x 1,6,28814595,0,0,0
currentstuff.mat,wevent,cell,1 x 153,153,3165903,0,0,0
currentstuff.mat,thisframe,uint8,720 x 1280 x 3,2764800,2764800,0,0,0
currentstuff.mat,infrasoundEvent,struct,1 x 153,153,550039,0,0,0
currentstuff.mat,tr2,threecomp,1 x 1,1,298392,0,0,0
currentstuff.mat,tr,threecomp,1 x 1,1,278907,0,0,0
currentstuff.mat,wzrt,waveform,1 x 3,3,278027,0,0,0
currentstuff.mat,wf2,waveform,6 x 1,6,127395,0,0,0
currentstuff.mat,wf3,waveform,6 x 1,6,84195,0,0,0
currentstuff.mat,tc2,threecomp,1 x 1,1,58392,0,0,0
currentstuff.mat,tc,threecomp,1 x 1,1,38907,0,0,0
currentstuff.mat,tc1,threecomp,1 x 1,1,38907,0,0,0
currentstuff.mat,wsz,waveform,1 x 3,3,38027,0,0,0
currentstuff.mat,wsz2,waveform,3 x 1,3,37389,0,0,0
currentstuff.mat,wiz,waveform,3 x 1,3,37353,0,0,0
currentstuff.mat,wf4,waveform,6 x 1,6,20595,0,0,0
currentstuff.mat,a,double,3 x 459,1377,11016,0,0,0
currentstuff.mat,p2p,double,1 x 918,918,7344,0,0,0
currentstuff.mat,snrall,double,1 x 918,918,7344,0,0,0
currentstuff.mat,rl,waveform,1 x 1,1,3679,0,0,0
currentstuff.mat,pl,waveform,1 x 1,1,3643,0,0,0
currentstuff.mat,ev,struct,1 x 1,1,3544,0,0,0
currentstuff.mat,exc,MException,1 x 1,1,3042,0,0,0
currentstuff.mat,tv,double,200 x 1,200,1600,0,0,0
currentstuff.mat,p2p_good,double,1 x 162,162,1296,0,0,0
currentstuff.mat,snr_good,double,1 x 162,162,1296,0,0,0
currentstuff.mat,backaz,double,1 x 153,153,1224,0,0,0
currentstuff.mat,e,double,1 x 153,153,1224,0,0,0
currentstuff.mat,etime,double,1 x 153,153,1224,0,0,0
currentstuff.mat,meanCorrAll,double,1 x 153,153,1224,0,0,0
currentstuff.mat,meanSecsDiff,double,1 x 153,153,1224,0,0,0
currentstuff.mat,p2p1,double,1 x 153,153,1224,0,0,0
currentstuff.mat,p2p2,double,1 x 153,153,1224,0,0,0
currentstuff.mat,p2p3,double,1 x 153,153,1224,0,0,0
currentstuff.mat,p2pbest,double,1 x 153,153,1224,0,0,0
currentstuff.mat,t,double,1 x 153,153,1224,0,0,0
currentstuff.mat,y,double,1 x 153,153,1224,0,0,0
currentstuff.mat,ds,datasource,1 x 1,1,1043,0,0,0
currentstuff.mat,df,struct,1 x 1,1,966,0,0,0
currentstuff.mat,masterEvent,struct,1 x 1,1,706,0,0,0
currentstuff.mat,reallygood,double,1 x 47,47,376,0,0,0
currentstuff.mat,source,struct,1 x 1,1,278,0,0,0
currentstuff.mat,bestbackazAll,double,1 x 27,27,216,0,0,0
currentstuff.mat,bestsoundspeedAll,double,1 x 27,27,216,0,0,0
currentstuff.mat,etime_good,double,1 x 27,27,216,0,0,0
currentstuff.mat,good,double,1 x 27,27,216,0,0,0
currentstuff.mat,meanSecsDiff_good,double,1 x 27,27,216,0,0,0
currentstuff.mat,p2pbestgood,double,1 x 27,27,216,0,0,0
currentstuff.mat,ratio1v3,double,1 x 27,27,216,0,0,0
currentstuff.mat,ratio2v3,double,1 x 27,27,216,0,0,0
currentstuff.mat,fname,char,1 x 81,81,162,0,0,0
currentstuff.mat,scnl,scnlobject,1 x 1,1,153,0,0,0
currentstuff.mat,filepattern,char,1 x 65,65,130,0,0,0
currentstuff.mat,jpgfile,char,1 x 65,65,130,0,0,0
currentstuff.mat,pngfile,char,1 x 65,65,130,0,0,0
currentstuff.mat,ax,matlab.graphics.axis.Axes,1 x 11,11,88,0,0,0
currentstuff.mat,lh6,matlab.graphics.primitive.Line,1 x 11,11,88,0,0,0
currentstuff.mat,lh7,matlab.graphics.primitive.Line,1 x 11,11,88,0,0,0
currentstuff.mat,lh8,matlab.graphics.primitive.Line,1 x 11,11,88,0,0,0
currentstuff.mat,OUTDIR,char,1 x 39,39,78,0,0,0
currentstuff.mat,matfilename,char,1 x 38,38,76,0,0,0
currentstuff.mat,dbpath,char,1 x 37,37,74,0,0,0
currentstuff.mat,MdistanceDiff,double,3 x 3,9,72,0,0,0
currentstuff.mat,MspeedMatrix,double,3 x 3,9,72,0,0,0
currentstuff.mat,d,double,3 x 3,9,72,0,0,0
currentstuff.mat,distDiff,double,3 x 3,9,72,0,0,0
currentstuff.mat,distanceDiff,double,3 x 3,9,72,0,0,0
currentstuff.mat,speedMatrix,double,3 x 3,9,72,0,0,0
currentstuff.mat,xticks,double,1 x 9,9,72,0,0,0
currentstuff.mat,cwd,char,1 x 35,35,70,0,0,0
currentstuff.mat,outfile,char,1 x 34,34,68,0,0,0
currentstuff.mat,coords,double,4 x 2,8,64,0,0,0
currentstuff.mat,yticks,double,1 x 7,7,56,0,0,0
currentstuff.mat,GISMO,char,1 x 27,27,54,0,0,0
currentstuff.mat,arclen,double,1 x 6,6,48,0,0,0
currentstuff.mat,array_distance_in_km,double,1 x 6,6,48,0,0,0
currentstuff.mat,easting,double,1 x 6,6,48,0,0,0
currentstuff.mat,effective_speed,double,1 x 6,6,48,0,0,0
currentstuff.mat,lat,double,6 x 1,6,48,0,0,0
currentstuff.mat,lon,double,6 x 1,6,48,0,0,0
currentstuff.mat,northing,double,1 x 6,6,48,0,0,0
currentstuff.mat,predicted_traveltime_seconds,double,1 x 6,6,48,0,0,0
currentstuff.mat,figureOutDirectory,char,1 x 21,21,42,0,0,0
currentstuff.mat,MFILES_SEISMICLAB,char,1 x 17,17,34,0,0,0
currentstuff.mat,home,char,1 x 17,17,34,0,0,0
currentstuff.mat,infrasoundEnergy,double,1 x 3,3,24,0,0,0
currentstuff.mat,dstr,char,1 x 10,10,20,0,0,0
currentstuff.mat,chantag,ChannelTag,1 x 1,1,16,0,0,0
currentstuff.mat,pylims,double,1 x 2,2,16,0,0,0
currentstuff.mat,sylims,double,1 x 2,2,16,0,0,0
currentstuff.mat,xlims,double,1 x 2,2,16,0,0,0
currentstuff.mat,chan,char,1 x 6,6,12,0,0,0
currentstuff.mat,cols,char,1 x 6,6,12,0,0,0
currentstuff.mat,FPS,double,1 x 1,1,8,0,0,0
currentstuff.mat,Mbestbackaz,double,1 x 1,1,8,0,0,0
currentstuff.mat,Mbestsoundspeed,double,1 x 1,1,8,0,0,0
currentstuff.mat,SECONDS_PER_DAY,double,1 x 1,1,8,0,0,0
currentstuff.mat,X,double,1 x 1,1,8,0,0,0
currentstuff.mat,ans,double,1 x 1,1,8,0,0,0
currentstuff.mat,axnum,double,1 x 1,1,8,0,0,0
currentstuff.mat,bestbackaz,double,1 x 1,1,8,0,0,0
currentstuff.mat,bestsoundspeed,double,1 x 1,1,8,0,0,0
currentstuff.mat,c,double,1 x 1,1,8,0,0,0
currentstuff.mat,chanNum,double,1 x 1,1,8,0,0,0
currentstuff.mat,col,double,1 x 1,1,8,0,0,0
currentstuff.mat,deg2m,double,1 x 1,1,8,0,0,0
currentstuff.mat,densityAir,double,1 x 1,1,8,0,0,0
currentstuff.mat,densityEarth,double,1 x 1,1,8,0,0,0
currentstuff.mat,end_recording_time,double,1 x 1,1,8,0,0,0
currentstuff.mat,endtime,double,1 x 1,1,8,0,0,0
currentstuff.mat,enum,double,1 x 1,1,8,0,0,0
currentstuff.mat,eventnum,double,1 x 1,1,8,0,0,0
currentstuff.mat,fh,matlab.ui.Figure,1 x 1,1,8,0,0,0
currentstuff.mat,fignum,double,1 x 1,1,8,0,0,0
currentstuff.mat,figureHeight,double,1 x 1,1,8,0,0,0
currentstuff.mat,figureWidth,double,1 x 1,1,8,0,0,0
currentstuff.mat,fout,double,1 x 1,1,8,0,0,0
currentstuff.mat,h2,double,1 x 1,1,8,0,0,0
currentstuff.mat,hfigs,matlab.ui.Figure,1 x 1,1,8,0,0,0
currentstuff.mat,hi1,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hi2,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hi3,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hpl,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hrl,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hs1,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hs2,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,hs3,matlab.graphics.chart.primitive.Line,1 x 1,1,8,0,0,0
currentstuff.mat,imacaspectratio,double,1 x 1,1,8,0,0,0
currentstuff.mat,ind,double,1 x 1,1,8,0,0,0
