pickIndex,arid,matlabDatenum,arrivalTimeEpochS,arrivalTimeUTC,network,station,location,channel,seedId,phase,amplitude,signalToNoise,timeUncertaintyS,channelInfoText,channelParseSucceeded,isDeleted,isInfrasoundPhase,isSeismicPhase,isUnclassifiedPhase,isInfrasoundChannel,isSeismicChannel,eventNumber,associationMethod,associationTimeResidualS,associationAmbiguous,eventFirstArrivalDatenum,eventLastArrivalDatenum,eventFirstArrivalEpochS,eventLastArrivalEpochS,eventFirstArrivalUTC,eventLastArrivalUTC,timeFromEventFirstArrivalS
1,450,736573.00776184,1472602270.623,2016-08-31T00:11:10.623,,BCHH,10,HD1,.BCHH.10.HD1,N,-1,-1,NaN,.BCHH..HD1_10,1,0,1,0,0,1,0,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
2,451,736573.008416343,1472602327.172,2016-08-31T00:12:07.172,,BCHH,10,HD1,.BCHH.10.HD1,N,-1,-1,NaN,.BCHH..HD1_10,1,0,1,0,0,1,0,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
3,619,736573.241055729,1472622427.215,2016-08-31T05:47:07.215,,BCHH,00,HHZ,.BCHH.00.HHZ,,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,1,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
4,620,736573.241097315,1472622430.808,2016-08-31T05:47:10.808,,BCHH,00,HHZ,.BCHH.00.HHZ,,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,1,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
5,618,736573.287692685,1472626456.648,2016-08-31T06:54:16.648,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
6,617,736573.293933322,1472626995.839,2016-08-31T07:03:15.839,,BCHH,00,HHZ,.BCHH.00.HHZ,,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,1,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
7,621,736573.307443762,1472628163.141,2016-08-31T07:22:43.141,,BCHH,00,HHZ,.BCHH.00.HHZ,,-1,-1,NaN,.BCHH..HHZ_00,1,0,0,0,1,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
8,616,736573.307445301,1472628163.274,2016-08-31T07:22:43.274,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
9,614,736573.310650266,1472628440.183,2016-08-31T07:27:20.183,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
10,615,736573.310780961,1472628451.475,2016-08-31T07:27:31.475,,BCHH,00,HHZ,.BCHH.00.HHZ,del,-1,-1,NaN,.BCHH..HHZ_00,1,1,0,0,0,0,1,NaN,,NaN,0,NaN,NaN,NaN,NaN,NaT,NaT,NaN
