station,peak_time_s,peak_amplitude,peak_distance_m,peak_source_time_s,peak_phi_deg,peak_f_obs_hz,side,distance_km,station_distance_km
W_00.5km,19.009725559431914,0.0010546536568617972,792.235866885146,16.7,36.151307303128895,17.07059893491074,West,0.792235866885146,0.5
E_00.5km,21.215805015556008,0.0009534094186735317,862.9211203357114,18.7,38.6527487729276,16.82094179060007,East,0.8629211203357114,0.5
W_01.0km,26.782775319478993,0.0005818240079476522,1537.5919345812952,22.3,36.18497908106749,16.126940646669222,West,1.5375919345812952,1.0
E_01.0km,31.55963319244209,0.000491625622530937,1735.4541850076369,26.5,39.865644409800524,15.607955102679911,East,1.7354541850076368,1.0
W_01.5km,32.66250740711422,0.000405529861920209,2250.9400406401755,26.1,36.46020827878367,15.51103306697041,West,2.2509400406401756,1.5
W_02.0km,37.837105330612715,0.00031248141410224135,2962.527128400159,29.200000000000003,36.377005906282726,15.003945605397906,West,2.962527128400159,2.0
E_01.5km,40.25997288367304,0.00032725368557770784,2627.3706990998544,32.6,40.34979269908298,14.678505241498755,East,2.6273706990998544,1.5
W_02.5km,42.4886871367474,0.00025476145270244123,3666.2196879043577,31.8,36.28068188197579,14.58315755081827,West,3.666219687904358,2.5
W_03.0km,46.69972701283588,0.00021538629936101558,4356.006365402707,34.0,36.28646224714908,14.236073610076335,West,4.356006365402707,3.0
E_02.0km,47.968973552013736,0.00024400134208228262,3522.2579283407094,37.7,40.67544602249877,13.92303596112928,East,3.5222579283407094,2.0
W_03.5km,50.71624550234256,0.00018677225287754535,5047.672207303498,36.0,36.18171194300012,13.91854925787966,West,5.047672207303498,3.5
W_04.0km,54.37208418403035,0.00016502124004503005,5718.524875122409,37.7,36.25762414270988,13.66059680969501,West,5.718524875122409,4.0
E_02.5km,54.95628517603594,0.00019412808323545117,4409.705815380327,42.1,40.96296779762768,13.291676269977344,East,4.4097058153803275,2.5
W_04.5km,57.93972043798428,0.00014791613643837278,6393.424110228606,39.300000000000004,36.22630403713717,13.41482483806784,West,6.393424110228606,4.5
W_05.0km,61.410640836712524,0.00013410608417938356,7069.449806992394,40.800000000000004,36.14661243678713,13.183852480136224,West,7.0694498069923934,5.0
E_03.0km,61.57686466600953,0.00016109026213439385,5308.564580441267,46.1,41.0750446615278,12.72400739187831,East,5.308564580441267,3.0
W_05.5km,64.7767938395314,0.00012271633246400526,7743.840286959268,42.2,36.056467831367044,12.969370850027644,West,7.743840286959268,5.5
E_03.5km,67.93624800650126,0.000137672969332904,6220.733066229929,49.800000000000004,41.06363962822146,12.207214831974659,East,6.220733066229929,3.5
W_06.0km,68.03051637578005,0.00011315819665334433,8413.967116892556,43.5,35.98100701047277,12.772453030717694,West,8.413967116892556,6.0
W_06.5km,71.16452994011715,0.00010502086030532215,9077.333769460181,44.7,35.93729651402044,12.593760566854295,West,9.077333769460182,6.5
E_04.0km,73.82203607441197,0.00012024152133762051,7107.658373523305,53.1,41.16311340550064,11.769636745575992,East,7.107658373523305,4.0
W_07.0km,74.1719707242859,9.800781586748703e-05,9731.585958430062,45.800000000000004,35.93716972605858,12.433685880928891,West,9.731585958430061,7.0
W_07.5km,77.04642545967019,9.18983312050147e-05,10374.52393266687,46.800000000000004,35.98900161940134,12.2926370601004,West,10.37452393266687,7.5
E_04.5km,79.52461806599479,0.00010677573204398475,8000.343996636211,56.2,41.19465239308037,11.367612026608848,East,8.00034399663621,4.5
W_08.0km,80.1114717440096,8.652833999588332e-05,11048.534808195292,47.900000000000006,35.829056861354196,12.126107739750841,West,11.048534808195292,8.0
W_08.5km,82.87219630178896,8.177054073028559e-05,11686.763331513612,48.800000000000004,35.8744183797958,12.001756808556339,West,11.686763331513612,8.5
E_05.0km,85.01822886356854,9.606906253198413e-05,8889.952500204006,59.1,41.21238976613189,11.002467639689291,East,8.889952500204007,5.0
W_09.0km,85.65451877339946,7.752425889461686e-05,12332.399939276012,49.7,35.86025264389663,11.875007364903217,West,12.332399939276012,9.0
W_09.5km,88.4582489403917,7.371128477618202e-05,12985.379386554352,50.6,35.79535951298276,11.746355230409437,West,12.985379386554353,9.5
E_05.5km,89.89452309318847,8.719868887745787e-05,9705.021420963645,61.6,41.54017782953332,10.766723254837345,East,9.705021420963645,5.5
W_10.0km,91.111150788018,7.026751869338452e-05,13620.924720290168,51.400000000000006,35.81147726250447,11.637507895408406,West,13.620924720290168,10.0
W_10.5km,93.78172340159695,6.714186040282733e-05,14262.531126747754,52.2,35.78579541001553,11.52705799539644,West,14.262531126747753,10.5
E_06.0km,95.03167161617013,7.97536796219666e-05,10575.263364346354,64.2,41.660790241072405,10.528093698572976,East,10.575263364346354,6.0
W_11.0km,96.46983891172806,6.429194187506275e-05,14910.154746722723,53.0,35.72369164271874,11.415319805783083,West,14.910154746722723,11.0
W_11.5km,99.17542553240267,6.168191487457991e-05,15563.770957614111,53.800000000000004,35.629737064567834,11.30257198725087,West,15.563770957614112,11.5
E_06.5km,100.25308379178549,7.348070644200821e-05,11474.40774058242,66.8,41.674822090344605,10.280087557805187,East,11.47440774058242,6.5
W_12.0km,101.7197446965245,5.928314863031139e-05,16196.372430907903,54.5,35.6244001795428,11.20943035117484,West,16.196372430907903,12.0
W_12.5km,104.2781662806793,5.707030612662151e-05,16833.811034272996,55.2,35.59096494873265,11.115294023539075,West,16.833811034272998,12.5
E_07.0km,105.16797633553466,6.813513822950674e-05,12337.015883088388,69.2,41.78076100478575,10.057838274177113,East,12.33701588308839,7.0
W_13.0km,106.6691592204771,5.502250223287329e-05,17448.121612623643,55.800000000000004,35.64592903352981,11.040359254028813,West,17.448121612623645,13.0
W_13.5km,109.25398356483916,5.3122050249497337e-05,18094.61636273983,56.5,35.56357593914758,10.944562635314751,West,18.09461636273983,13.5
