Site Name,GPS Coordinates,Photo,Unnamed: 3,Latitude,Longitude
B01,"28°37'17""N 80°36'24""W",,,28.62138888888889,-80.60666666666665
B03,"28°38'34""N 80°37'25""W",,,28.642777777777777,-80.6236111111111
B05,"28°38'24""N 80°38'42""W",,,28.64,-80.64500000000001
B07,"28°36'26""N 80°35'39""W",,,28.607222222222223,-80.59416666666667
B12,"28°37'18""N 80°38'50""W",,,28.621666666666666,-80.64722222222223
B14,"28°37'56""N 80°36'57""W",,,28.63222222222222,-80.61583333333333
B20,"28°34'25""N 80°34'20""W",,,28.57361111111111,-80.57222222222222
B23,"28°34'43""N 80°36'28""W",,sllding door,28.578611111111112,-80.60777777777777
B24,"28°34'50""N 80°38'27""W",,,28.580555555555556,-80.64083333333333
B29,"28°37'05""N 80°40'37""W",,,28.618055555555557,-80.67694444444444
