source_name,source_event_id,source_name_value,event_type,time_utc,precision,time_definition,quality,pad,vehicle_mission,stations_recorded,notes,source_url,source_file,time_role,location,status,retrieved_at,cache_source,persistent_event_id
launch_library_2,5312259d-6ede-4929-ba2e-3db5a590f635,Atlas V 401 | GPS IIF-12 (USA-266),orbital_launch,2016-02-05T13:38:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 401 | GPS IIF-12,,,https://ll.thespacedevs.com/2.3.0/launches/5312259d-6ede-4929-ba2e-3db5a590f635/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,b69f83d9-5d6f-4dfa-8d2a-e1759448a3b1,Falcon 9 Full Thrust | SES-9,orbital_launch,2016-03-04T23:35:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | SES-9,,,https://ll.thespacedevs.com/2.3.0/launches/b69f83d9-5d6f-4dfa-8d2a-e1759448a3b1/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,2e0d05c0-79ea-4765-a2bc-afb5fbe3c3f0,Atlas V 401 | Cygnus CRS OA-6 (S.S. Rick Husband),orbital_launch,2016-03-23T03:05:52Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 401 | Cygnus CRS OA-6 (S.S. Rick Husband),,,https://ll.thespacedevs.com/2.3.0/launches/2e0d05c0-79ea-4765-a2bc-afb5fbe3c3f0/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,d47b8475-1175-479e-99b4-c86d535558e1,Falcon 9 Full Thrust | SpX CRS-8,orbital_launch,2016-04-08T20:43:32Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | SpX CRS-8,,,https://ll.thespacedevs.com/2.3.0/launches/d47b8475-1175-479e-99b4-c86d535558e1/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,c1f172a5-85a2-4fb1-96b4-b05267f62d85,Falcon 9 Full Thrust | JCSAT-14,orbital_launch,2016-05-06T05:21:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | JCSAT-14,,,https://ll.thespacedevs.com/2.3.0/launches/c1f172a5-85a2-4fb1-96b4-b05267f62d85/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,1af4fa39-c4d2-4e30-8b2a-70e9f94ac8a9,Falcon 9 Full Thrust | Thaicom 8,orbital_launch,2016-05-27T21:39:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | Thaicom 8,,,https://ll.thespacedevs.com/2.3.0/launches/1af4fa39-c4d2-4e30-8b2a-70e9f94ac8a9/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,b311a6ce-f4e3-4690-ae47-31ce069229bf,Delta IV Heavy | NROL-37,orbital_launch,2016-06-11T17:51:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 37A,Delta IV Heavy | NROL-37,,,https://ll.thespacedevs.com/2.3.0/launches/b311a6ce-f4e3-4690-ae47-31ce069229bf/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,8717277d-416b-4ed8-bb4e-95d2ba9da31d,Falcon 9 Full Thrust | Eutelsat 117 West B & ABS-2A,orbital_launch,2016-06-15T14:29:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | Eutelsat 117 West B & ABS-2A,,,https://ll.thespacedevs.com/2.3.0/launches/8717277d-416b-4ed8-bb4e-95d2ba9da31d/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,2f8d2efa-ae8a-4cc9-b67a-2fc7e72da2a0,Atlas V 551 | MUOS-5,orbital_launch,2016-06-24T14:30:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 551 | MUOS-5,,,https://ll.thespacedevs.com/2.3.0/launches/2f8d2efa-ae8a-4cc9-b67a-2fc7e72da2a0/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,74eb8c19-cb07-4674-8a0f-9090f952024a,Falcon 9 Full Thrust | SpX CRS-9,orbital_launch,2016-07-18T04:45:29Z,second,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | SpX CRS-9,,,https://ll.thespacedevs.com/2.3.0/launches/74eb8c19-cb07-4674-8a0f-9090f952024a/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,5f59bf95-0c45-418a-a1d4-8a237c6b852b,Atlas V 421 | NROL-61,orbital_launch,2016-07-28T12:37:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 421 | NROL-61,,,https://ll.thespacedevs.com/2.3.0/launches/5f59bf95-0c45-418a-a1d4-8a237c6b852b/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,42af1017-49f4-41ec-97d6-0c3520643fc8,Falcon 9 Full Thrust | JCSAT-16,orbital_launch,2016-08-14T05:26:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Full Thrust | JCSAT-16,,,https://ll.thespacedevs.com/2.3.0/launches/42af1017-49f4-41ec-97d6-0c3520643fc8/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,b874f013-5a64-407d-8ca4-c35835c4dde2,"Delta IV M+(4,2) | AFSPC-6",orbital_launch,2016-08-19T04:52:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,"Delta IV M+(4,2) | AFSPC-6",,,https://ll.thespacedevs.com/2.3.0/launches/b874f013-5a64-407d-8ca4-c35835c4dde2/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,0bcc6850-4c51-4b08-aa19-0b3753351b9b,Atlas V 411 | OSIRIS-REx,orbital_launch,2016-09-08T23:05:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 411 | OSIRIS-REx,,,https://ll.thespacedevs.com/2.3.0/launches/0bcc6850-4c51-4b08-aa19-0b3753351b9b/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,8e2d9e38-577b-4acb-bc01-f83385cf31bd,Atlas V 541 | GOES-R,orbital_launch,2016-11-19T23:42:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 541 | GOES-R,,,https://ll.thespacedevs.com/2.3.0/launches/8e2d9e38-577b-4acb-bc01-f83385cf31bd/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,4823ac5f-da33-42e9-b642-0c6092dcf04d,"Delta IV M+(5,4) | WGS-8 (USA-272)",orbital_launch,2016-12-07T23:53:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 37B,"Delta IV M+(5,4) | WGS-8 (USA-272)",,,https://ll.thespacedevs.com/2.3.0/launches/4823ac5f-da33-42e9-b642-0c6092dcf04d/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,6e7316e1-9e03-411d-a39f-c28e20e18a91,Atlas V 431 | Echostar 19 (Jupiter-2),orbital_launch,2016-12-18T19:13:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 431 | Echostar 19 (Jupiter-2),,,https://ll.thespacedevs.com/2.3.0/launches/6e7316e1-9e03-411d-a39f-c28e20e18a91/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,18c98e18-b460-478c-884b-2778b68d2805,Atlas V 401 | SBIRS GEO Flight 3 (SBIRS GEO-4),orbital_launch,2017-01-21T00:42:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 401 | SBIRS GEO Flight 3 (SBIRS GEO-4),,,https://ll.thespacedevs.com/2.3.0/launches/18c98e18-b460-478c-884b-2778b68d2805/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,35e3bff1-a9f4-40de-b4e0-8dad8e131768,Falcon 9 Full Thrust | SpX CRS-10,orbital_launch,2017-02-19T14:39:00Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon 9 Full Thrust | SpX CRS-10,,,https://ll.thespacedevs.com/2.3.0/launches/35e3bff1-a9f4-40de-b4e0-8dad8e131768/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
