kml_id,name,lat,lon,altitude_m
NE Tower,NE Tower,28.56239315465329,-80.57670189008208,73.0
Pad NW,Pad NW,28.562646,-80.577882,14.0
YouTube Video,YouTube Video,28.5511400506791,-80.61892975152867,8.0
Pad West,Pad West,28.56215995441811,-80.57855867744074,22.0
UCS-3,UCS-3,28.57510844078698,-80.5736377955046,0.0
SLC41,SLC41,28.58345596796037,-80.58288223763739,10.62427218651398
SLC39A,SLC39A,28.60825947578885,-80.6041278158651,12.71009394794224
SLC39B,SLC39B,28.62730746821256,-80.62085878500558,3.305249358485829
SLC40,SLC40,28.56193580144674,-80.57720517592954,14.03200591939605
SLC37B,SLC37B,28.53130260205287,-80.56467966483369,9.443225712230198
LZ-1,LZ-1,28.48573081502853,-80.5429271278553,5.754244787687086
SLC46,SLC46,28.4585,-80.5284,9.584152763581342
LZ-2,LZ-2,28.48778336949326,-80.54495015340369,2.080433729243298
