event_id,launch_designator,mission,pad
ksc-0a37d378c793,2016-007,Atlas V 401 | GPS IIF-12 (USA-266),SLC-41
ksc-0be735cb3f5e,2016-013,Falcon 9 Full Thrust | SES-9,SLC-40
ksc-8e58c2658acc,2016-019,Atlas V 401 | Cygnus CRS OA-6 (S.S. Rick Husband),SLC-41
ksc-8aa9b54b04b3,2016-024,Falcon 9 Full Thrust | SpX CRS-8,SLC-40
ksc-b635ff80bec4,2016-028,Falcon 9 Full Thrust | JCSAT-14,SLC-40
ksc-152b8a4e80b3,2016-031,Falcon 9 Full Thrust | Thaicom 8,SLC-40
ksc-f4e6bfd6b80a,2016-036,Delta IV Heavy | NROL-37,SLC-37A
ksc-f03498f967c1,2016-038,Falcon 9 Full Thrust | Eutelsat 117 West B & ABS-2A,SLC-40
ksc-1d06004c76ff,2016-041,Atlas V 551 | MUOS-5,SLC-41
ksc-661a5a67e4b2,2016-046,Falcon 9 Full Thrust | SpX CRS-9,SLC-40
ksc-81cfc0530cc7,2016-047,Atlas V 421 | NROL-61,SLC-41
ksc-2e795d04c05e,2016-050,Falcon 9 Full Thrust | JCSAT-16,SLC-40
ksc-b391787ae525,2016-052,"Delta IV M+(4,2) | AFSPC-6",SLC-41
ksc-48988fddd1fa,,Falcon 9 Full Thrust | Amos 6 (Failure before launch),SLC-40
ksc-ba59e6ac6c4f,2016-055,Atlas V 411 | OSIRIS-REx,SLC-41
ksc-dfc38a9ce879,2016-071,Atlas V 541 | GOES-R,SLC-41
ksc-733bc3039ef3,2016-075,"Delta IV M+(5,4) | WGS-8 (USA-272)",SLC-37B
ksc-c2fe1c964407,2016-078,Pegasus XL | 8 x CYGNSS,Cape Canaveral
ksc-7a7641f86188,2016-079,Atlas V 431 | Echostar 19 (Jupiter-2),SLC-41
ksc-5e9a9e4f3d75,2017-004,Atlas V 401 | SBIRS GEO Flight 3 (SBIRS GEO-4),SLC-41
ksc-c788979cec23,2017-009,Falcon 9 Full Thrust | SpX CRS-10,SLC-39A
ksc-91884d55ab36,2017-014,Falcon 9 Full Thrust | Echostar 23,SLC-39A
ksc-a35e217c6b81,2017-016,"Delta IV M+(5,4) | WGS-9 (USA-275)",SLC-37B
ksc-7e5ce767f406,2017-017,Falcon 9 Full Thrust | SES-10,SLC-39A
ksc-8b954b41511e,2017-019,Atlas V 401 | Cygnus CRS OA-7 (S.S. John Glenn),SLC-41
