launch_designator,window_start,window_end,name,SLC,success
2010-004,2010-02-08 09:14:08+00:00,2010-02-08 09:14:08+00:00,Space Shuttle Endeavour / OV-105 | STS-130,Launch Complex 39A,True
2010-012,2010-04-05 10:21:22+00:00,2010-04-05 10:21:22+00:00,Space Shuttle Discovery / OV-103 | STS-131,Launch Complex 39A,True
2010-019,2010-05-14 18:20:09+00:00,2010-05-14 18:20:09+00:00,Space Shuttle Atlantis / OV-104 | STS-132,Launch Complex 39A,True
2011-008,2011-02-24 21:53:24+00:00,2011-02-24 21:53:24+00:00,Space Shuttle Discovery / OV-103 | STS-133,Launch Complex 39A,True
2011-020,2011-05-16 12:56:28+00:00,2011-05-16 12:56:28+00:00,Space Shuttle Endeavour / OV-105 | STS-134,Launch Complex 39A,True
2011-031,2011-07-08 15:29:04+00:00,2011-07-08 15:29:04+00:00,Space Shuttle Atlantis / OV-104 | STS-135,Launch Complex 39A,True
2016-007,2016-02-05 13:38:00+00:00,2016-02-05 13:57:00+00:00,Atlas V 401 | GPS IIF-12 (USA-266),Space Launch Complex 41,True
2016-013,2016-03-04 23:35:00+00:00,2016-03-05 01:06:00+00:00,Falcon 9 Full Thrust | SES-9,Space Launch Complex 40,True
2016-019,2016-03-23 03:05:52+00:00,2016-03-23 03:35:00+00:00,Atlas V 401 | Cygnus CRS OA-6 (S.S. Rick Husband),Space Launch Complex 41,True
2016-024,2016-04-08 20:43:32+00:00,2016-04-08 20:43:32+00:00,Falcon 9 Full Thrust | SpX CRS-8,Space Launch Complex 40,True
2016-028,2016-05-06 05:21:00+00:00,2016-05-06 07:21:00+00:00,Falcon 9 Full Thrust | JCSAT-14,Space Launch Complex 40,True
2016-031,2016-05-27 21:39:00+00:00,2016-05-27 23:39:00+00:00,Falcon 9 Full Thrust | Thaicom 8,Space Launch Complex 40,True
2016-036,2016-06-11 17:51:00+00:00,2016-06-11 17:51:00+00:00,Delta IV Heavy | NROL-37,Space Launch Complex 37A,True
2016-038,2016-06-15 14:29:00+00:00,2016-06-15 15:13:00+00:00,Falcon 9 Full Thrust | Eutelsat 117 West B & ABS-2A,Space Launch Complex 40,True
2016-041,2016-06-24 14:30:00+00:00,2016-06-24 15:14:00+00:00,Atlas V 551 | MUOS-5,Space Launch Complex 41,True
2016-046,2016-07-18 04:45:29+00:00,2016-07-18 04:45:29+00:00,Falcon 9 Full Thrust | SpX CRS-9,Space Launch Complex 40,True
2016-047,2016-07-28 12:00:00+00:00,2016-07-28 16:00:00+00:00,Atlas V 421 | NROL-61,Space Launch Complex 41,True
2016-050,2016-08-14 05:26:00+00:00,2016-08-14 07:26:00+00:00,Falcon 9 Full Thrust | JCSAT-16,Space Launch Complex 40,True
